iter	Passed	Remaining
0	3	3109
1	5	2757
2	7	2640
3	10	2574
4	12	2548
5	15	2518
6	17	2529
7	20	2529
8	22	2517
9	25	2509
10	27	2488
11	30	2483
12	32	2469
13	34	2460
14	37	2448
15	39	2424
16	41	2405
17	43	2384
18	45	2370
19	48	2360
20	50	2361
21	52	2354
22	55	2343
23	57	2348
24	60	2345
25	62	2351
26	65	2352
27	67	2352
28	70	2357
29	72	2354
30	75	2362
31	78	2378
32	81	2373
33	83	2374
34	85	2367
35	88	2360
36	90	2358
37	92	2350
38	95	2348
39	97	2345
40	99	2337
41	102	2330
42	104	2335
43	107	2330
44	109	2323
45	111	2317
46	113	2310
47	116	2309
48	118	2308
49	121	2303
50	123	2304
51	126	2298
52	128	2297
53	131	2296
54	133	2294
55	135	2290
56	138	2297
57	141	2290
58	143	2289
59	146	2289
60	148	2285
61	150	2282
62	153	2284
63	156	2282
64	158	2283
65	161	2283
66	163	2278
67	166	2275
68	168	2271
69	170	2268
70	173	2267
71	175	2265
72	178	2263
73	180	2258
74	182	2256
75	185	2259
76	188	2254
77	190	2250
78	192	2247
79	195	2244
80	197	2242
81	200	2240
82	202	2237
83	205	2240
84	207	2236
85	209	2231
86	212	2232
87	214	2228
88	217	2226
89	219	2223
90	222	2218
91	224	2216
92	227	2215
93	229	2209
94	231	2206
95	233	2202
96	236	2198
97	238	2196
98	240	2191
99	243	2188
100	246	2190
101	248	2185
102	250	2180
103	252	2177
104	255	2173
105	257	2172
106	259	2169
107	262	2165
108	264	2163
109	267	2161
110	269	2156
111	271	2156
112	274	2153
113	276	2151
114	279	2150
115	281	2146
116	283	2142
117	286	2140
118	288	2136
119	290	2132
120	293	2131
121	295	2128
122	298	2125
123	300	2123
124	302	2120
125	305	2119
126	307	2116
127	310	2113
128	312	2112
129	315	2109
130	317	2105
131	320	2105
132	322	2101
133	325	2100
134	327	2099
135	330	2097
136	333	2099
137	335	2096
138	338	2094
139	340	2094
140	343	2090
141	345	2088
142	348	2086
143	350	2084
144	353	2082
145	355	2079
146	357	2075
147	360	2076
148	362	2073
149	375	2127
150	377	2123
151	380	2120
152	382	2116
153	384	2113
154	387	2111
155	389	2108
156	392	2106
157	394	2104
158	397	2100
159	399	2098
160	402	2095
161	404	2091
162	407	2090
163	409	2085
164	411	2081
165	413	2079
166	416	2075
167	418	2071
168	421	2071
169	423	2068
170	425	2065
171	428	2063
172	430	2059
173	433	2056
174	435	2053
175	437	2049
176	440	2045
177	442	2041
178	444	2037
179	446	2035
180	449	2032
181	451	2029
182	453	2025
183	455	2021
184	458	2018
185	460	2016
186	463	2013
187	465	2011
188	468	2008
189	470	2005
190	473	2004
191	475	2001
192	478	1998
193	480	1997
194	483	1995
195	485	1992
196	488	1989
197	490	1986
198	493	1985
199	495	1982
200	498	1980
201	500	1977
202	503	1975
203	505	1972
204	508	1971
205	510	1967
206	512	1964
207	515	1962
208	517	1958
209	520	1956
210	522	1954
211	524	1951
212	527	1948
213	529	1945
214	531	1941
215	533	1938
216	536	1934
217	538	1931
218	541	1930
219	543	1927
220	545	1924
221	548	1922
222	550	1918
223	552	1915
224	555	1912
225	557	1910
226	560	1907
227	562	1905
228	564	1901
229	567	1899
230	569	1896
231	571	1892
232	574	1890
233	577	1889
234	579	1886
235	582	1884
236	584	1882
237	587	1880
238	589	1877
239	592	1874
240	594	1873
241	598	1874
242	601	1873
243	605	1875
244	618	1906
245	623	1910
246	627	1911
247	633	1920
248	640	1930
249	646	1939
