Column 1,Column 2,Statistic,p-value,Result
Завершение мероприятия,Инструктаж новых участников,1702426.0,0.0,Различия есть
Завершение мероприятия,Маршал,773703.0,0.0,Различия есть
Завершение мероприятия,Пейсер,769464.0,0.034,Различия есть
Завершение мероприятия,Сканирование штрих-кодов,1109833.5,0.0,Различия есть
Завершение мероприятия,Хранение и доставка оборудования,1419192.5,0.0,Различия есть
Замыкающий,Инструктаж новых участников,319075.0,0.0,Различия есть
Замыкающий,Маршал,9131004.5,0.0,Различия есть
Замыкающий,Пейсер,1620255.5,0.0,Различия есть
Замыкающий,Сканирование штрих-кодов,1653024.0,0.0,Различия есть
Замыкающий,Хранение и доставка оборудования,2679777.5,0.0,Различия есть
Инструктаж новых участников,Лидер для слабовидящих,157724.5,0.0,Различия есть
Инструктаж новых участников,Маршал,1469290.0,0.0,Различия есть
Инструктаж новых участников,Обработка результатов,2422477.5,0.0,Различия есть
Инструктаж новых участников,Организатор,530171.0,0.0,Различия есть
Инструктаж новых участников,Организация финиша,3077842.0,0.0,Различия есть
Инструктаж новых участников,Пейсер,1607945.0,0.0,Различия есть
Инструктаж новых участников,Подготовка мероприятия,1830412.0,0.0,Различия есть
Инструктаж новых участников,Проверка карточек позиций,223993.0,0.0,Различия есть
Инструктаж новых участников,Проверка трассы,2960766.5,0.0,Различия есть
Инструктаж новых участников,Раздача карточек позиций,574930.5,0.0,Различия есть
Инструктаж новых участников,Разное,3408791.0,0.0,Различия есть
Инструктаж новых участников,Связи с общественностью,1761365.5,0.0,Различия есть
Инструктаж новых участников,Секундомер,154601.0,0.0,Различия есть
Инструктаж новых участников,Сканирование штрих-кодов,210192.5,0.0,Различия есть
Инструктаж новых участников,Сортировка карточек,1082368.5,0.0,Различия есть
Инструктаж новых участников,Составление отчёта,447771.0,0.0,Различия есть
Инструктаж новых участников,Фотограф,923329.0,0.0,Различия есть
Инструктаж новых участников,Хранение и доставка оборудования,2463917.0,0.0,Различия есть
Лидер для слабовидящих,Маршал,2406.0,0.0,Различия есть
Лидер для слабовидящих,Пейсер,55017.0,0.0,Различия есть
Лидер для слабовидящих,Сканирование штрих-кодов,38442.0,0.0,Различия есть
Лидер для слабовидящих,Хранение и доставка оборудования,192613.5,0.0,Различия есть
Маршал,Обработка результатов,4882356.0,0.0,Различия есть
Маршал,Организатор,7680902.5,0.0,Различия есть
Маршал,Организация финиша,1069244.5,0.0,Различия есть
Маршал,Пейсер,471360.5,0.0,Различия есть
Маршал,Подготовка мероприятия,9551430.0,0.0,Различия есть
Маршал,Проверка карточек позиций,84630.0,0.0,Различия есть
Маршал,Проверка трассы,2893938.0,0.0,Различия есть
Маршал,Раздача карточек позиций,7453488.5,0.0,Различия есть
Маршал,Разное,2247475.0,0.0,Различия есть
Маршал,Связи с общественностью,4831464.5,0.0,Различия есть
Маршал,Секундомер,14173795.5,0.7139,Различий нет
Маршал,Сканирование штрих-кодов,10289750.0,0.0,Различия есть
Маршал,Сортировка карточек,768178.0,0.0,Различия есть
Маршал,Составление отчёта,159250.5,0.0,Различия есть
Маршал,Фотограф,11135524.0,0.0,Различия есть
Маршал,Хранение и доставка оборудования,2384865.0,0.0,Различия есть
Обработка результатов,Пейсер,1918378.0,0.0,Различия есть
Обработка результатов,Сканирование штрих-кодов,295113.0,0.0,Различия есть
Обработка результатов,Хранение и доставка оборудования,5827190.0,0.0,Различия есть
Организатор,Пейсер,2614623.5,0.0,Различия есть
Организатор,Сканирование штрих-кодов,181921.5,0.0,Различия есть
Организатор,Хранение и доставка оборудования,6461077.5,0.0,Различия есть
Организация финиша,Пейсер,937620.5,0.0,Различия есть
Организация финиша,Сканирование штрих-кодов,1457013.5,0.0,Различия есть
Организация финиша,Хранение и доставка оборудования,2480083.0,0.0,Различия есть
Пейсер,Подготовка мероприятия,1549880.0,0.0,Различия есть
Пейсер,Проверка карточек позиций,103176.0,0.0,Различия есть
Пейсер,Проверка трассы,1395777.0,0.0,Различия есть
Пейсер,Раздача карточек позиций,2211626.5,0.0,Различия есть
Пейсер,Разное,508933.0,0.0,Различия есть
Пейсер,Связи с общественностью,979931.5,0.0,Различия есть
Пейсер,Секундомер,1132352.0,0.0,Различия есть
Пейсер,Сканирование штрих-кодов,1160713.0,0.0,Различия есть
Пейсер,Сортировка карточек,1021898.5,0.0,Различия есть
Пейсер,Составление отчёта,150553.0,0.0,Различия есть
Пейсер,Фотограф,868548.0,0.0,Различия есть
Пейсер,Хранение и доставка оборудования,944763.5,0.0,Различия есть
Подготовка мероприятия,Сканирование штрих-кодов,6526306.0,0.0,Различия есть
Подготовка мероприятия,Хранение и доставка оборудования,6649381.5,0.0,Различия есть
Проверка карточек позиций,Сканирование штрих-кодов,82745.0,0.0,Различия есть
Проверка карточек позиций,Хранение и доставка оборудования,139249.5,0.0,Различия есть
Проверка трассы,Сканирование штрих-кодов,2075816.0,0.0,Различия есть
Проверка трассы,Хранение и доставка оборудования,5163742.5,0.0,Различия есть
Раздача карточек позиций,Сканирование штрих-кодов,270969.5,0.0,Различия есть
Раздача карточек позиций,Хранение и доставка оборудования,6005267.0,0.0,Различия есть
Разное,Сканирование штрих-кодов,3977300.5,0.0,Различия есть
Разное,Хранение и доставка оборудования,4149861.0,0.1047,Различий нет
Связи с общественностью,Сканирование штрих-кодов,6995740.5,0.0,Различия есть
Связи с общественностью,Хранение и доставка оборудования,3077175.0,0.0,Различия есть
Секундомер,Сканирование штрих-кодов,4908688.5,0.0,Различия есть
Секундомер,Хранение и доставка оборудования,2876069.0,0.0,Различия есть
Сканирование штрих-кодов,Сортировка карточек,342819.0,0.0,Различия есть
Сканирование штрих-кодов,Составление отчёта,3032.5,0.0,Различия есть
Сканирование штрих-кодов,Фотограф,7400904.5,0.7755,Различий нет
Сканирование штрих-кодов,Хранение и доставка оборудования,2193281.0,0.0,Различия есть
Сортировка карточек,Хранение и доставка оборудования,1201837.5,0.0,Различия есть
Составление отчёта,Хранение и доставка оборудования,287665.0,0.0,Различия есть
Фотограф,Хранение и доставка оборудования,3232594.5,0.0,Различия есть
