region,per_capita_income_rub,median_income_per_capita_rub,milk_consumption_per_capita,sugar_consumption_per_capita,urban_population_pct,male_to_female_ratio,under_working_age_population_pct,working_age_population_pct,above_working_age_population_pct,dependency_ratio,birth_rate_per_1000,death_rate_per_1000,infant_mortality_per_1000_births,natural_increase_rate_per_1000,marriage_rate_per_1000,divorce_rate_per_1000,migration_increase_rate_per_10000,library_books_per_1000,library_users_total,milk_production_total,milk_production_per_cow,forest_coverage_pct,disease_incidence_infectious,disease_incidence_cancer,disease_incidence_blood,disease_incidence_endocrine,disease_incidence_nervous,disease_incidence_eye,disease_incidence_ear,disease_incidence_circulatory,disease_incidence_respiratory,disease_incidence_digestive,disease_incidence_skin,disease_incidence_musculoskeletal,disease_incidence_genitourinary,disease_incidence_congenital,disease_incidence_trauma,disease_incidence_all,air_pollutant_emissions,captured_air_pollutants_pct,wastewater_discharge,gross_preschool_coverage,qualified_workers_grads,mid_level_specialists_grads,bachelors_specialists_masters_grads,electronic_data_exchange_pct,personal_computer_households_pct,internet_access_households_pct,broadband_access_households_pct,daily_internet_usage_pct,bus_passenger_transport,buses_per_100000,unemployed_per_vacancy,stadiums_1500_seats,sports_facilities_fields,sports_facilities_gyms,sports_facilities_pools,alcoholism_patients_per_100k,drug_addiction_patients_per_100k,substance_abuse_patients_per_100k,disabled_population_per_1000,population_total,crimes_murder_attempts,crimes_grievous_bodily_harm,crimes_robbery,crimes_armed_robbery,crimes_hooliganism,crimes_drug_related,nominal_wages_avg_rub,poverty_rate_pct_region
Белгородская область,41022,32811,269,45,65.4,1158,16.7,56.4,26.9,773,7.1,14.2,4.2,-7.1,7.4,4.3,-73,6044,826,721.776,8543,8.8,21.3,8.7,1.6,7.3,18.8,22.9,25.8,37.1,369.4,17.3,33.8,30.8,46.5,0.8,91.3,54.5,158,82.8,58.6,77.61596484,1.6,6.8,8.7,57.2,60.2,78.1,77.5,73.7,102,92.43810114,0.2209844702,22,3272,899,156,598.2,57.8,0.5,123.3,1536.5,102,131,212,21,2,1274,47638,6.1
Брянская область,35722,28677.8,190,32,69.6,1183,17.1,56.1,26.8,782,7.1,15.6,5.4,-8.5,6.4,4.7,-20,6870,484,304.618,6313,32.9,23,14.3,2,13.3,10,22.4,21,34.4,447.7,45.3,34.7,26.8,33.1,1.4,101.7,65.9,54,88.6,52.06,72.8549688,1.3,5,4.5,61.7,64.1,81.1,80.9,75.9,74.7,121.2142247,0.488421898,16,1374,686,56,1506.4,213,2.1,90,1164.7,58,119,247,23,4,976,40804,12
Владимирская область,32321,27587.1,216,32,77.6,1203,16.2,55.5,28.3,800,6.6,16.8,4.2,-10.2,6.6,4.4,-23,6621,495,471.881,9008,51.6,22.9,13.9,1.8,8.9,9.1,22.3,25,26.3,567.4,20.3,40.9,30.2,37.1,1.6,99.1,115.7,73,15.5,91.32,88.62864095,1.8,5.5,5.3,60.3,67.8,79.4,79.2,81.2,84.1,73.63203597,0.3217033338,30,1776,847,71,1392.2,121.8,2.9,90.5,1342.2,54,168,381,28,6,1322,45677,10.4
Воронежская область,39319,30806.9,293,52,68.5,1165,16,56.4,27.6,773,7.5,15.3,3.6,-7.8,7.3,4.4,3,5967,865,1055.849,8645,8.3,11.8,6.4,2,11.2,8,20.5,15.2,37,280.6,21.2,19,12.1,21.5,0.7,57.9,135.8,115,52.6,121.46,76.13124041,2.9,8.7,17.7,55.9,79.5,90.4,89.7,86.1,146.3,106.1575771,0.511452396,10,4296,1338,72,1284.8,217.6,4.1,93.9,2302.6,87,183,451,70,10,2091,46277,7.2
Ивановская область,34275,26967.9,195,34,82.1,1228,16.1,55.6,28.3,797,7.5,17.3,5.8,-9.8,6.9,4.9,-4,8560,383,157.35,7054,45.6,25.7,14.1,1.8,17.2,16.1,49.7,62.7,38.3,400.8,29.8,38.3,44.7,85.1,3.3,107.2,124.8,25,20.7,58.19,93.66638581,1.2,3.8,4.7,60.9,71,84.4,83.4,81.6,53.1,126.9233923,0.2640164849,14,1043,542,38,1172.6,115.1,5,78.8,924.1,38,112,252,42,6,747,36380,11.5
Калужская область,35509,31476.3,253,27,74.9,1109,16.8,57,26.2,753,7.9,14.2,3.4,-6.3,6.5,5,41,6675,409,489.544,8959,45.1,21.1,10.3,2.3,7.3,19.4,24.9,26.1,31.4,576.4,32.6,49.6,40,35.5,1.2,77.5,82.8,31,63.9,72.86,77.11596315,0.6,3.9,3.7,58.1,72.6,79.2,75.8,77.1,50.1,105.4299703,0.2332631193,15,930,625,76,762.1,104.7,1,76.8,1073.3,46,130,248,34,13,1187,53910,7.9
Костромская область,34450,27139.8,216,29,74.1,1202,18.5,52.8,28.7,894,7.8,17.1,3.9,-9.3,7.3,5.1,-14,10356,284,117.682,6809,73.3,17.1,12.5,2.9,10.3,8.3,18.3,22.8,26.7,482.9,15.1,37.5,15.5,29.3,1.7,107.8,79,40,36,38.08,89.54498685,0.7,2.7,1.6,51.7,69,78.1,77.5,81.2,31.8,112.7819549,0.2743706707,6,718,411,33,1349.9,161.6,4.7,90.6,578,36,55,118,14,10,671,40242,11
Курская область,37632,30339.6,195,54,68.5,1206,17,55.2,27.8,812,7.4,16.2,4.6,-8.8,7,4.7,-16,8195,492,436.559,9256,8.2,11.5,9,1.4,10.4,7,12.7,12.2,31.4,354,10.2,30.5,7.5,12.6,0.7,62.7,57.2,51,43.6,7.96,60.61467575,1.6,5.4,7.1,59.5,64,83.4,83.4,82.1,72.5,106.4633367,0.2592016114,9,1095,683,49,886.5,83.2,3.2,110.7,1078.2,89,100,152,19,5,855,46059,8.1
Липецкая область,38926,31756.8,223,51,63,1183,16.9,56,27.1,784,7.1,15.2,3.2,-8.1,6.6,4.3,-24,6908,456,308.107,8218,8.8,17.6,8.1,1.1,8.3,4.9,20.8,18.9,32.3,304.4,14.4,32.7,17.8,33.4,0.7,79.1,72.8,300,75.1,64.6,76.39782286,1.4,4.8,4,59.9,64.4,77.8,77.8,76.7,88.9,108.4116232,0.2855071358,22,2175,654,58,1098.2,110.1,2,100.9,1138.1,44,93,275,19,6,1212,46711,7.2
Московская область,55109,48004.7,250,43,78.3,1103,18.5,58.7,22.8,703,8.6,11.7,3.7,-3.1,7.4,4.3,90,1928,1756,731.698,8053,42,19.1,8.8,1.3,6.5,9,17.8,16.9,25.7,366.2,17.5,37.5,19.5,23.3,0.6,82.8,69.8,169,97.5,806.36,75.61416526,5.7,21,15.3,54.6,83.1,89.7,88.8,89.3,672,113.0621332,0.3765233518,119,3001,2528,348,763.6,178.3,4.3,54.43334288,8542.3,344,776,1375,232,107,7257,70705,5.5
